Filename,Ground_Truth,Predicted,Correct,Windows_AF_Found
134405-131592-1-TBX5H2B-full dose1E14-2w-s,No,No,True,[]
134406-131592-2-TBX5H2B-full dose1E14-2w-s,No,Yes,False,"[2, 3]"
134407-131592-3-TBX5H2B-full dose1E14-2w-a,No,Yes,False,[2]
134408-131592-4-TBX5H2B-1in2-5E13-2w-s,No,Yes,False,[3]
134409-131592-5-TBX5H2B-1in2-5E13-2w-a-s,No,Yes,False,"[1, 2, 3]"
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a,No,No,True,[]
134400-132561-2-LKB1H2B-1in10-1E13-4w-s,No,No,True,[]
134401-132561-3-LKB1H2B-1in10-1E13-4w-s,No,Yes,False,"[1, 2, 3]"
134402-132561-4-LKB1H2B-full dose1E14-4w-s,No,No,True,[]
134403-132561-5-LKB1H2B-full dose1E14-4w-s-one a,No,No,True,[]
134404-132561-6-LKB1H2B-full dose1E14-4w-s,No,Yes,False,"[1, 2, 3]"
134405-131592-1-TBX5H2B-full dose1E14-4w-s,No,Yes,False,"[1, 2]"
134406-131592-2-TBX5H2B-full dose1E14-4w-s,No,No,True,[]
134407-131592-3-TBX5H2B-full dose1E14-4w-s,No,No,True,[]
